Name,Date,Time,URL,Category,Probability,Color
srh_20240410T003117_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T003117_12200_I.fit,Bad,1,red
srh_20240410T022837_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T022837_12200_I.fit,Bad,1,red
srh_20240410T034342_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T034342_12200_I.fit,Bad,1,red
srh_20240410T041302_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T041302_12200_I.fit,Bad,1,red
srh_20240410T051253_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T051253_12200_I.fit,Bad,1,red
srh_20240410T061243_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T061243_12200_I.fit,Bad,1,red
srh_20240410T065829_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T065829_12200_I.fit,Bad,1,red
srh_20240411T002855_12200_I.fit,2024-04-11,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240411/srh_20240411T002855_12200_I.fit,Bad,1,red
srh_20240411T004259_12200_I.fit,2024-04-11,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240411/srh_20240411T004259_12200_I.fit,Bad,1,red
srh_20240411T022835_12200_I.fit,2024-04-11,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240411/srh_20240411T022835_12200_I.fit,Bad,1,red
srh_20240411T034341_12200_I.fit,2024-04-11,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240411/srh_20240411T034341_12200_I.fit,Bad,1,red
srh_20240411T035746_12200_I.fit,2024-04-11,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240411/srh_20240411T035746_12200_I.fit,Bad,1,red
srh_20240410T010518_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T010518_12200_I.fit,Bad,1,red
srh_20240410T014402_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T014402_12200_I.fit,Bad,1,red
srh_20240410T024242_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T024242_12200_I.fit,Bad,1,red
srh_20240410T044333_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T044333_12200_I.fit,Bad,1,red
srh_20240410T052808_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T052808_12200_I.fit,Bad,1,red
srh_20240410T074304_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T074304_12200_I.fit,Bad,1,red
srh_20240410T075819_12200_I.fit,2024-04-10,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240410/srh_20240410T075819_12200_I.fit,Bad,1,red
srh_20240411T055837_12200_I.fit,2024-04-11,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240411/srh_20240411T055837_12200_I.fit,Bad,1,red
srh_20240411T075818_12200_I.fit,2024-04-11,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240411/srh_20240411T075818_12200_I.fit,Bad,1,red
srh_20240412T022836_12200_I.fit,2024-04-12,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240412/srh_20240412T022836_12200_I.fit,Bad,1,red
srh_20240412T024241_12200_I.fit,2024-04-12,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240412/srh_20240412T024241_12200_I.fit,Bad,1,red
srh_20240412T035746_12200_I.fit,2024-04-12,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240412/srh_20240412T035746_12200_I.fit,Bad,1,red
srh_20240412T042817_12200_I.fit,2024-04-12,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240412/srh_20240412T042817_12200_I.fit,Bad,1,red
srh_20240412T044332_12200_I.fit,2024-04-12,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240412/srh_20240412T044332_12200_I.fit,Bad,1,red
srh_20240412T062757_12200_I.fit,2024-04-12,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240412/srh_20240412T062757_12200_I.fit,Bad,1,red
srh_20240412T064313_12200_I.fit,2024-04-12,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240412/srh_20240412T064313_12200_I.fit,Bad,1,red
srh_20240413T031310_12200_I.fit,2024-04-13,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240413/srh_20240413T031310_12200_I.fit,Bad,1,red
srh_20240413T052806_12200_I.fit,2024-04-13,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240413/srh_20240413T052806_12200_I.fit,Bad,1,red
srh_20240413T062756_12200_I.fit,2024-04-13,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240413/srh_20240413T062756_12200_I.fit,Bad,1,red
srh_20240413T064311_12200_I.fit,2024-04-13,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240413/srh_20240413T064311_12200_I.fit,Bad,1,red
srh_20240413T071342_12200_I.fit,2024-04-13,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240413/srh_20240413T071342_12200_I.fit,Bad,1,red
srh_20240413T082737_12200_I.fit,2024-04-13,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240413/srh_20240413T082737_12200_I.fit,Bad,1,red
srh_20240413T002743_12200_I.fit,2024-04-13,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240413/srh_20240413T002743_12200_I.fit,Bad,1,red
srh_20240413T015804_12200_I.fit,2024-04-13,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240413/srh_20240413T015804_12200_I.fit,Bad,1,red
srh_20240413T022834_12200_I.fit,2024-04-13,--:--:--,https://ftp.rao.istp.ac.ru/SRH/SRH1224/cleanMaps/20240413/srh_20240413T022834_12200_I.fit,Bad,1,red
